,Title,Category,Snippet
2492,Dave attacks Boris Johnson in Brit awards performance: 'Our prime minister's a real racist',Music,"Summary: South London rapper Dave has accused Boris Johnson of being a racist on stage at the 2020 Brit awards. Performing Black, a freestyle track that charts …"
2493,"Kim Jiyoung, Born 1982 review – South Korean #MeToo bestseller",Books,Summary: This Korean bestseller chronicles the everyday struggle of women against endemic sexism. Its provocative power springs from the same source as its tot …
2494,"Immigration: firms will need to train more UK workers, says Priti Patel",UK-News,Companies will need to train more British workers to fill vacancies when the new immigration system kicks in requiring foreign workers to have qualifi …
2495,The queens of agility: America’s most famous canine athletes race for glory,Sport,The sport of dog agility is easy to grasp for a first-time spectator. The object is simple: Unleashed dogs negotiate a serpentine obstacle course – cl …
2496,The Crying Book by Heather Christle review – why do we weep?,Books,What makes you cry? Recently I cried when my eldest daughter won a medal in a gymnastics competition; during a conversation with my wife; and while wa …
2497,Midnight Family review – an alarming look at Mexico's ambulance cowboys,Film,"Were it not for the real-life tragedy and horror involved, this documentary could almost be a bleak and often hilarious black comedy. Film-maker Luke …"
2498,"Ut review – post-punk brutalists retain their stark, soulful power",Music,"Veterans of a mid-80s underground scene that raised atonal, oppressive noise to a vital artform, Ut have retained their ability to unsettle and inspir …"
2499,Pearl Carr obituary,Music,Summary: In 1959 the husband and wife duo of Pearl Carr and Teddy Johnson were invited to look at songs with which they could represent the UK in the fourth st …
2500,What do female film-makers have to say about male stories?,Film,"When Ana Kokkinos found out her second film was going to be shown at Cannes in 1998, she was overjoyed. Charting 24 hedonistic hours in the life of a …"
2501,Should Astros players fear for their safety after the cheating scandal?,Sport,"Summary: The Houston Astros have been punished, but has justice truly been served? That’s the big question hovering around Major League Baseball as commissione …"
2502,"Group of more than 1,000 judges calls emergency meeting amid Trump concerns",US-News,A national association of federal judges has called an emergency meeting to address growing concerns about the intervention of Donald Trump and justic …
2503,UK immigration plans prompt fresh calls for 'Scottish visa',UK-News,"There has been widespread condemnation in Scotland of the UK government’s immigration plans, as industry bodies representing tourism, farming, fishing …"
2504,"Brexit deal 'a different ball game' to Canada agreement, warns EU",Politics,"Downing Street’s hopes of a Canada-style trade deal with the EU have been dealt a further blow after a senior adviser to Brussels’ chief negotiator, M …"
2505,The Public review – quiet showdown in the library,Film,"A lot of very big guns are wheeled on to make a weirdly muffled and underwhelming bang in this stately, high-minded feature from Emilio Estevez, shot …"
2506,The filth factor: how to draw up the perfect cleaning rota,Life-and-Style,"Anyone who has messy children, a lazy partner or revolting flatmates will be impressed by the resourcefulness of Katrina Neathey, the co-owner of a cl …"
2507,"Pop star, producer or pariah? The conflicted brilliance of Grimes",Music,Grimes has always had a tortured relationship with visibility. No sooner had Claire Boucher broken beyond the Montreal warehouse scene at the turn of …
2508,UK inflation jumps to six-month high of 1.8% –,Business,"The Nasdaq index in New York has hit its latest record high, with investors apparently circumspect about the risks of the coronavirus outbreak worseni …"
2509,Should the Harvey Weinstein jury really be forbidden to review books?,Books,"Summary: As the jury in Harvey Weinstein’s rape trial begin their deliberations, his defence lawyers launched a last-minute bid to to get one juror discharged …"
2510,Watchdog attacks Tories for 'neglecting industrial strategy',Politics,"Boris Johnson’s goal of rebalancing Britain’s lopsided economy is at risk of failure because of the government’s neglect of its industrial strategy, t …"
2511,"Incidental Characters review – muddling along, looking for love",Film,"Benjamin Verrall’s film is a quirky, low-key but basically underpowered British indie set in Lewes, East Sussex, and although it never quite came aliv …"
2512,Kim Clijsters returns to tennis with renewed energy the overriding goal,Sport,"Summary: When Kim Clijsters announced her first comeback in the summer of 2009, the news was met with joy. It seemed right and just. In the first stanza of her …"
2513,Cate Blanchett on global politics and immigration detention:,Film,"As an Australian working abroad, Cate Blanchett never found it easy talking about her home government – in particular, the trauma it has inflicted on …"
2514,Space austerity: plane seats and change rooms needn't bring out our worst,Life-and-Style,"If you don’t normally subscribe to the idea that hell is other people, you might after a long-haul flight in economy class. Seats reclined up against …"
2515,How can you outrun Usain Bolt? Get yourself some buffalos,Life-and-Style,"It made for a good story, even if it was best filed under fake news. Indian man runs faster than Usain Bolt, claimed the headlines, after a constructi …"
2516,'I'm out': Rory McIlroy will not join proposed Premier Golf League,Sport,Rory McIlroy has delivered what may well prove to be a fatal blow to plans for a breakaway golf tour by stating he has no interest in taking part. The …
2517,"'Dear God, please send me to hell': Derek Jarman prints sold in fundraiser",Film,"If there were a choice, Derek Jarman implored God, then could he please go to hell. And if the almighty insisted on reincarnation then “please promise …"
2518,Dave hailed for Brit awards protest against 'racist' Boris Johnson,Music,It has been described as “the most important performance in the history of the Brits” and “a necessary wake-up call in the most provocative way”. Afte …
2519,Scotland on course to pass 'groundbreaking' period poverty law,UK-News,The Scottish parliament is on course to introduce the world’s most comprehensive provision of free period products after the SNP government announced …
2520,Six men jailed for rape and assault of two girls in Huddersfield,UK-News,Six men who sexually exploited two vulnerable young girls in Huddersfield have been sentenced to up to 15 years in prison. The girls – who were aged 1 …
2521,"Longer jail time for terrorists could backfire, says watchdog",Politics,Emergency plans to increase the minimum time terrorists serve in jail risk being counterproductive because of the danger that prisoners will be furthe …
2522,UK inflation hits six-month high as petrol and energy prices rise,Business,Inflation jumped to a six-month high of 1.8% in January after a surge in petrol prices and an increase in the cost of gas and electricity over last ye …
2523,Home Office to deport vulnerable asylum seekers,UK-News,"The Home Office is planning to deport vulnerable asylum seekers and suspected victims of trafficking on a new charter flight on Thursday, the Guardian …"
2524,Eddie Jones seeks a quick start as England prepare to face Ireland,Sport,"In contrast to Ireland, with their unchanged team and more relaxed managerial regime, things are less serene in the England camp. Some half-decent wea …"
2525,In My Blood It Runs review – quietly masterful portrait of growing up Indigenous,Film,The defining image imprinted on to my mind after watching director Maya Newell’s excellent film In My Blood It Runs is of a child – its 10-year-old su …
2526,Democratic debate: key takeaways from the bust-up in Las Vegas,US-News,"There were lots of disagreements on Wednesday’s debate stage in Las Vegas, but one thing that everyone agreed on was that the event marked the most in …"
2527,Over half of UK women killed by men die at hands of partner or ex,UK-News,"More than half the women killed by men in the UK in 2018 were killed by a current or former partner, many after they had taken steps to leave, accordi …"
2528,Rebecca Long-Bailey vows to make it Labour policy to scrap Prevent,Politics,Rebecca Long-Bailey has vowed to make it Labour policy to scrap the anti-extremism programme Prevent if she is elected to replace Jeremy Corbyn as par …
2529,Vulva masks and labia serums: the marketing of women’s genital shame,Life-and-Style,"There is little to love about having a cold, damp vulva. Or so I discovered when I applied an “activated charcoal sheet mask” to mine. The product in …"
2530,"End of the Century review – post-coital reverie of sex, love and memory",Film,"End of the Century, from first-time director Lucio Castro, is a post-coital reverie of a movie, a musingly light meditation on sex, love, monogamy and …"
2531,'Cause of death: Elizabeth Warren': Democratic debate's brutality delights viewers,US-News,"It only took nine debates and eight months, but the Democratic candidates for president have finally taken their gloves off and gone for each other. A …"
2532,"'Are you mocking me, Pete?': tensions flare between Klobuchar and Buttigieg",US-News,The battle between Pete Buttigieg and Amy Klobuchar for the Democratic center ground reached new heights – and got increasingly personal – during Wedn …
2533,Antisocial by Andrew Marantz review – America's online extremists,Books,"Antisocial is, among other things, a tale of two Mikes. Mike Cernovich was a law student, nutrition blogger, self-help author and generic Twitter trol …"
2534,Lloyds bank boss takes 28% pay cut after annual profits fall,Business,"António Horta-Osório, formerly Britain’s best-paid banking boss, has taken a 28% cut to his £6.5m pay package as Lloyds Banking Group reported a sharp …"
2535,Talking Horses: Willie Mullins says new-look National is just grand,Sport,"On the eve of the Horse Welfare Board’s first press conference, intended to introduce itself and its aims to the world, Willie Mullins gave his suppor …"
2536,When Time Stopped by Ariana Neumann review – an extraordinary Holocaust story,Books,"Getting to know your parents can take a lifetime, especially if they are secretive about their past. That her father, Hans, was more than a philanthro …"
2537,My Hero Academia: Heroes Rising review – workies save the world,Film,"Summary: A second feature-length outing for the popular shonen (teenage boys) anime from Tokyo’s Bones studio, Heroes Rising milks the 21st-century superhero f …"
2538,Ben Affleck's Batman was hard to like – but the man himself deserves some empathy,Film,Summary: There seem to be two essential prisms through which to view the celebrity star suffering in the spotlight. The first is the cynical tabloid editor’s p …
2539,Waiting for Anya review – soapy second world war melodrama,Film,"Summary: There is something melodramatic and soapy about this glossy adaptation of Michael Morpurgo’s second world war novel for children, the story of a Frenc …"
2540,The Strokes review – New York's ultimate hipsters set the crowd alight,Music,"A few years back, GQ magazine ran a feature headlined “The fifteen-year decline of the Strokes”, outlining the ways the New York quintet had disappoin …"
2541,Audit firms face review by watchdog over climate risk exposure,Business,The UK’s accounting watchdog has launched a major review into whether companies and their auditors are adequately reflecting the financial risks of th …
2542,Tony Blair: Labour must avoid 'cul-de-sac' of identity politics,Politics,"Tony Blair has warned the next Labour leader against becoming trapped in a “cul-de-sac of identity politics” over issues such as transgender rights, a …"
2543,Amnesty by Aravind Adiga review – a migrant’s tale,Books,"Summary: Every migrant, as Salman Rushdie has observed, is a fantasist. But so is every novelist. Both pursue dreams of another world, inside books or across b …"
2544,'Love and free food': Mel Brooks and Carl Reiner share the secrets of their 70-year friendship,Film,"Every evening, Mel Brooks leaves his home in Santa Monica, gets in his car and stares down Los Angeles’ notorious rush-hour traffic to go to Carl Rein …"
2545,Tintoretto: A Rebel in Venice review – the rock'n'roll Renaissance master?,Film,"Trying just a bit too hard to get some rock-star glamour to rub off on what’s a quintessentially high-brow package, this documentary about the Venetia …"
2546,New York fashion college apologizes for runway show criticised as 'clearly racist',US-News,Summary: A fashion college based in New York City has apologized after a catwalk show it organized was condemned as racist. The Fashion Institute of Technology …
2547,"Eminem: his 30 greatest tracks, ranked!",Music,"30. Rap God (2013) Eminem illustrates all the cadences he has mastered over the years, channelling flows from influences such as Tech N9ne and Big Pun …"
2548,"'Vagina is not a rude word': the scientist fighting to empower women, one word at a time",Books,"Catherine Blackledge immediately knew what her first book, a cultural history of the vagina spanning more than two millennia, should be called: Vagina …"
2549,Storm Dennis damage could cost insurance companies £225m,Business,"Flooding and damage left in the wake of Storm Dennis, which swept across the UK on 15 and 16 February, is estimated to cost £225m in insurance claims, …"
2550,Laura Ashley to raid archives as home furnishing sales plunge,Business,Laura Ashley is to revive the “timeless” designs of its late founder in the latest attempt to breathe new life into the struggling British heritage br …
2551,Conservative majority sent us on a shopping spree? Pull the other one,Business,Tills are ringing merrily in the high streets and it is all down to Boris Johnson. Thanks to the prime minister the dark clouds of uncertainty are scu …
2552,Tory MPs to warn against raising fuel duty in budget,Politics,"A group of Tory MPs is planning to warn the Treasury against a mooted rise in fuel duty at the budget, amid wider alarm within the party that Boris Jo …"
2553,Stormzy receives first Greggs ‘black card’ handing him free pastries for life,Music,He had the first UK No 1 of the decade and was named best male artist at the Brit awards this week. But now Stormzy may have clinched the ultimate acc …
2554,Bezuidenhout: Beethoven Piano Concertos 2 and 5 review – boisterous and charming,Music,"Summary: Hopefully you are not sick of Beethoven yet in his 250th anniversary year, because there are plenty of recordings to come that you might not have real …"
2555,The Brit awards have become a platform for black politics –,Music,"The Brits are no stranger to protest or political statement: the 1996 ceremony contained both, with Jarvis Cocker driven to moon Michael Jackson over …"
2556,Serco given £200m contract to run two more immigration removal centres,UK-News,A private firm that runs an immigration removal centre dogged by allegations of abuse has been awarded a £200m contract by the Home Office to run two …
2557,‘It feels like an extra limb’ – musicians on the bond with their instruments,Music,"Summary: One thing successful musicians have to do a lot of is travel, and when you travel with an instrument, you increase its chances of getting damaged. Ear …"
2558,Drug agents say NFL player Greg Robinson had 157lb of marijuana when arrested,Sport,NFL offensive tackle Greg Robinson remained in a Texas jail without bond on Wednesday after federal agents said they found 157lb (71kg) of marijuana i …
2559,Debate shows Bernie Sanders could win most votes but be denied nomination,US-News,"Amid the Mike Bloomberg pile-on and the Pete Buttigieg-Amy Klobuchar squabbling, there was a key point that slipped by almost unnoticed during Wednesd …"
2560,Opportunities abound for women's cricket as T20 World Cup arrives,Sport,"Summary: Strategically, Cricket Australia has been building up to this home season for five years. The impressive growth of women’s cricket in Australia over t …"
2561,"The more dysfunctional the royals are, the more their fans love them",Life-and-Style,"News that Prince Harry and Meghan will cease their royal duties at the end of next month is now in, yet offers no letup in the backbreaking schedule o …"
2562,From mansions to pensions: how will the budget affect taxes?,Politics,"Reports that Boris Johnson and the new chancellor, Rishi Sunak, are preparing tax rises in the budget on 11 March have raised concerns within the Cons …"
2563,Les Wexner sells control of Victoria's Secret amid declining sales,Business,"Les Wexner, the billionaire retailer who made Victoria’s Secret one of the most famous brands on the planet, has sold control of the troubled lingerie …"
2564,Scottish Tories urge rethink over points-based immigration,UK-News,"Summary: The Scottish Tory leader, Jackson Carlaw, plans to lobby Boris Johnson over complaints that Home Office plans for a points-based immigration system co …"
2565,That not-so-old black magic: how African mysticism returned to pop,Music,"In west Africa, juju, also known as black magic, is the indigenous belief system in the ability of the spiritual world to impact on the physical one. …"
2566,National Trust and Cadbury end £7m Easter egg hunt deal,UK-News,Summary: The National Trust and Cadbury have agreed to end their 13-year partnership involving the chocolate maker’s sponsorship of the trust’s annual Easter e …
2567,Steering system could be an F1 head start for Lewis Hamilton,Sport,The Formula One season has yet to begin but Lewis Hamilton and Mercedes may have already stolen a race-winning march on their rivals. Hamilton took to …
2568,UK weather warning of further rain for areas already hit by flooding,UK-News,"Parts of the UK remain at risk of significant flooding from ongoing heavy rain, as Jeremy Corbyn challenged Boris Johnson to visit flood victims to “s …"
2569,UK’s expensive visa fees 'could deter NHS staff and scientists',Politics,The UK’s “sky-high” visa fees could deter vital NHS staff and the “brightest and best” scientists that Boris Johnson wants to attract with his new imm …
2570,Man arrested after London mosque stabbing,UK-News,Scotland Yard has launched an investigation into the attempted murder of a man who was stabbed at a mosque during afternoon prayers before his alleged …
2571,My Salinger Year review – bafflingly insipid Berlin opener clunks hard,Film,There’s an unfortunate tradition at Berlin of beginning with a film that clunks hard enough to smash concrete. So it has proved with this bafflingly i …
2572,Jeremy Corbyn keeps door open to shadow cabinet role,Politics,"Summary: Jeremy Corbyn has held open the possibility he could stay on as a Labour frontbencher after stepping down as party leader, declining to rule out the i …"
2573,Knitting influencer gets in a tangle after mocking wokeness with yarn,Life-and-Style,So here’s a yarn to get your head around: critics are attacking a knitting influencer online for naming her dyed wools after “words that are meant to …
2574,Bloomberg debate video sparks new concern over social media disinformation,US-News,A heavily edited video of Mike Bloomberg’s performance at Wednesday’s democratic debate in Nevada has prompted fresh questions about disinformation po …
2575,France call Welsh claims of cheating in scrum 'a childish attack',Sport,The entente between France and Wales has turned distinctly uncordiale before Saturday’s meeting between the sides in Cardiff. The hosts fired the firs …
2576,'This is not just Roger being Roger': Stone gets 40 months – and a scolding from the judge,US-News,"Roger Stone, a longtime friend of Donald Trump and a self-styled dirty trickster of American politics, showed little emotion as he stood, squeezed bet …"
2577,Roger Stone sentenced to 40 months in prison despite request for new trial,US-News,"Summary: Roger Stone, a longtime ally of Donald Trump and a self-described political dirty trickster, was sentenced on Thursday to more than three years in pri …"
2578,US intelligence warned House members Russia is working to get Trump re-elected – reports,US-News,US intelligence officials are reported to have warned members of Congress last week that Russia was trying to interfere in the 2020 election campaign …
2579,Rory McIlroy does talking on course in Mexico after shunning Premier League,Sport,"The day after making an emphatic statement off the course, Rory McIlroy did precisely the same when back on it. Evidence of an excellent start to the …"
2580,Britain First leader Paul Golding charged by anti-terror police,UK-News,"Summary: Paul Golding, the leader of the fringe far-right group Britain First, has been charged with an offence under the Terrorism Act after refusing to give …"
2581,'She was a warrior': Warren supporters ebullient in Las Vegas after debate,US-News,"As her supporters chanted, “Persist, persist, persist,” Elizabeth Warren did a little dance. “All I can say is we’re just getting started,” said the M …"
2582,Céline Sciamma: 'In,Film,Céline Sciamma’s Portrait of a Lady on Fire should carry a health warning: “This film may cause uncontrollable swooning.” Everywhere the French direct …
2583,"Immigration rules post-Brexit could fuel modern slavery, say charities",UK-News,"The proposed closure of UK borders to low-skilled workers after Brexit risks driving vulnerable EU citizens into modern slavery, charities have said. …"
2584,United Nation: Three Decades of Drum & Bass review – a raving nostalgia trip,Film,"Summary: Here’s a reasonably entertaining film about the history of drum’n’bass co-directed by club scene entrepreneur Terry “Turbo” Stone, a man (apparently) …"
2585,The Mercies by Kiran Millwood Hargrave review – a witch-hunt tale for our times,Books,"There has been a vogue in the past few years for novels about gender and sexuality set in early modern Scandinavia: Hannah Kent’s Burial Rites, Sally …"
2586,The Orielles: the hotly tipped band leaving Halifax for the stars,Music,"Twenty minutes into the gong bath, Orielles vocalist and bassist Esmé Hand-Halford knew that she was ready to do her vocal take. Stockport’s Eve Studi …"
2587,Pulled By Magnets: Rose Golden Doorways review – an ear-tricking blizzard of sound,Music,"Seb Rochford is best known as leader of the post-jazz outfit Polar Bear and co-founder of the punk-jazzers Acoustic Ladyland, as well as being a found …"
2588,Ozzy Osbourne: Ordinary Man review – his final statement?,Music,Given his recent tribulations – notably his diagnosis with Parkinson’s – it’s hardly surprising that there is a sometimes elegiac feel to Ozzy Osbourn …
2589,Roger Stone is a friend of Trump – does that mean he's above the law?,US-News,"Any other convict, in Roger Stone’s place, might find cause for despair. Sentenced by Judge Amy Berman Jackson to 40 months in federal prison on Thurs …"
2590,Donald Trump jabs at Parasite's Oscar win because film is 'from South Korea',Film,"Summary: Donald Trump has taken a jab at the Oscars for awarding this year’s best picture honor to Parasite, because the film is South Korean. “How bad were th …"
2591,Sightless Pit: Grave of a Dog review – witchy trio unleash hell,Music,"Summary: ‘When shall we three meet again in thunder, lightning or in rain?” That’s what you can imagine this decidedly witchy trio saying to each other after f …"
2592,My life in sex: an open marriage revived my sex drive,Life-and-Style,"In the last six months, I’ve had sex with 15 men – not including my husband of 25 years. I’ve also talked to many men who tell me the same story: “I l …"
2593,Experience: I’ve written a letter to my local paper every day for 40 years,Life-and-Style,"I started writing to my local paper, the Liverpool Echo, in 1978, when I was 28. One of my first letters was a response to a story about what’s known …"
2594,Priti Patel gets 'storm' warning over senior civil servant clashes,Politics,Summary: A former chief civil servant at the Home Office has warned that the department is in the grip of a number of “tropical storms” amid reports of clashes …
2595,"King Krule: Man Alive! review – disgust, dissolution and despair",Music,"King Krule, AKA 25-year-old south London native Archy Marshall, has always let his work sprawl. His 2013 debut, 6 Feet Beneath the Moon, was a stagger …"
2596,Is being the 'voice of a generation' a curse or an honour for novelists?,Books,Sally Rooney doesn’t come across as someone who spends a lot of time on Snapchat. There is no scene in her 2018 novel Normal People where her protagon …
2597,Malmkrog review – cerebral period drama lives on in the mind,Film,"Summary: Cristi Puiu is the film-maker who spearheaded Romanian new wave 15 years ago with his brilliant The Death of Mr Lazarescu, and then five years later w …"
2598,"Tracks of the week reviewed: US Girls, Jake Shears, Grimes",Music,"US Girls 4 American Dollars In a comparison of the presidential candidates’ campaign rally playlists, the progressive Bernie Sanders came off unusuall …"
2599,Dry February sends California back to drought: 'This hasn't happened in 150 years',US-News,"San Francisco and Sacramento have not seen a drop of rain this February, and climate scientists are expecting that disturbing dry trend to hold, in wh …"
2600,India beat Australia by 17 runs: Women's T20 World Cup opener – as it happened,Sport,That’s all from the Sydney Showgrounds. What a thrilling start to this Women’s T20 World Cup with India triumphant. Thanks for your company. Bye for n …
2601,Tender Is the Flesh by Agustina Bazterrica review – a prizewinning Argentinian dystopia,Books,"“There are words that cover up the world,” thinks the protagonist of this prizewinning Argentinian dystopia. In our world of industrialised farming, w …"
2602,'Pyke notte thy nostrellys': 15th-century guide on children's manners digitised for first time,Books,"From Horrid Henry to Just William, naughty children are not difficult to find in children’s books today. But bad behaviour isn’t confined to recent de …"
2603,Redefining the 'strong man': Tyson Fury praised for openness on mental health,Sport,Tyson Fury’s struggle with his mental health was ridiculed by his opponent in the run-up to the most anticipated heavyweight title fight in decades. “ …
2604,Supergrass review –,Music,"One quality among many that defines Supergrass is their sense of humour. Note that the title track from their second and arguably best album, 1997’s I …"
2605,"Weirdos, misfits and why I had to check my dog's horoscope",UK-News,Summary: Monday Dominic Cummings’s programme to recruit more “weirdos” and “misfits” into No 10 got off to a cracking start with the appointment of “Mystic” An …
2606,Everything we wanted: the race to find the next Billie Eilish,Music,"Last week, Billie Eilish released her masterfully mournful Bond theme, No Time to Die – a huge swoop of a song that wants to bottle a feeling of timel …"
2607,Environment and animal rights activists being referred to Prevent programme,UK-News,"Environmental and animal rights activists have been referred to the government’s controversial anti-radicalisation programme, the Home Office has admi …"
2608,Dan Brown announces debut picture book – soundtracked by the author,Books,"Just like his hero Robert Langdon, who combines an eidetic memory with an uncanny knack for solving mysteries, incredible swimming skills and the abil …"
2609,Labour MPs warn ministers not to water down Windrush review,UK-News,Politicians have warned the government not to water down a review into the Windrush scandal after claims that a section of a pending report that brand …
2610,The best ideas do not come at 3am,Life-and-Style,"Anecdotally, there is a longstanding relationship between creativity and insomnia. Countless works of art have been inspired by those delirious, sleep …"
2611,Hammerson offloads nine UK retail parks for £455m,Business,Hammerson has offloaded its out-of-town retail parks for £455m as it looks to reduce its £3bn debt pile and shield itself from the high-street crisis. …
2612,What is the Windrush review?,UK-News,What is the purpose of the Windrush review? It was set up to provide an independent assessment of the events leading up to the Windrush scandal – part …
2613,Joaquin Phoenix saves cow and calf from slaughterhouse,Film,Summary: Few would have anticipated the most memorable line from this year’s Oscars would involve the artificial insemination of cattle. But Joaquin Phoenix’s …
2614,"Health, heat and deportations: the issues driving Nevada caucus voters",US-News,"As Nevada prepares for the caucuses that could reshape the US presidential race, Democratic voters here remained divided on who is the best candidate …"
2615,UK factory output hits 10-month high – as it happened,Business,The International Air Transport Association (IATA) trade body released initial forecasts showing that global airline revenues could take a near-$30bn …
2616,Don’t give up on cash yet: there’s a value to seeing what you spend,Life-and-Style,"Summary: The other day, New York’s city council voted to make it illegal for businesses to refuse payment in cash. The move was mainly intended to benefit peop …"
2617,Regent's Park mosque prayer leader returns day after being stabbed,UK-News,"A Muslim prayer leader has returned to Regent’s Park mosque a day after he was stabbed in the neck in front of hundreds of horrified onlookers, as Lon …"
2618,Rio Tinto appoints three women as non-executive directors,Business,Rio Tinto has appointed three female non-executive directors as the mining group moves to address the lack of diversity on its board. The company was …
2619,Wales under pressure to get back on track against inexperienced France,Sport,There was an echo of the Warren Gatland era this week when the prop Wyn Jones accused France of cheating in the scrum. It was a calculated attempt to …
2620,Brahms: The Boy II review – wilfully unscary evil doll horror,Film,"Watching Brahms: The Boy II, an awkwardly titled and staggeringly incompetent sequel to a film no one remembers, one’s mind will wander. After giving …"
2621,'Diversity is now centre stage': Berlin film festival sets industry precedent,Film,Summary: The Berlin film festival has achieved gender parity in some of its most senior positions a year after signing a pledge that commits film festivals to …
2622,Tell us: have you moved across Europe for love?,Life-and-Style,"Long distance relationships can be tricky. From students to people who work abroad, people from different backgrounds have tried to make it work. Some …"
2623,What I learned from doorstepping Dominic Cummings,Politics,"Things came to a head on Dominic Cummings’s doorstep on 11 February. “The night-time is the right time to fight crime,” he told waiting reporters, bef …"
2624,Go to Hell: town offers free weddings but anniversaries will be a problem,US-News,"I have heard it said there’s no point in going to heaven, because all the cool people will be in hell. I now know this is probably not true – because …"
2625,Revealed: how teachers could unwittingly trigger counter-terror inquiries,UK-News,"Teachers, doctors and other public-sector workers could unwittingly spark counter-terrorism inquiries when they seek advice about the government’s con …"
2626,'The bats used to fly in': the extreme end of heritage living,Life-and-Style,"Many of us dream of moving into a heritage building. But Olive Ryan didn’t – even before she saw the ghosts. Monte Cristo Homestead, the huge Victoria …"
2627,Chess: Alireza Firouzja wins first major title at age of 16,Sport,"The chess world’s rising star Alireza Firouzja, aged 16 and exiled from Iran, won his first major trophy last night when he defeated India’s Vidit Guj …"
2628,Rebecca Long-Bailey challenges rivals on housing as Labour race gets personal,Politics,"Rebecca Long-Bailey has publicly called on her rivals in the Labour leadership race to support a pledge to build more council homes, as the battle to …"
2629,Minamata review – Johnny Depp attempts redemption in heartfelt look at disaster that struck Japanese town,Film,"Minamata is not a masterpiece and there are one or two cliches here about western saviours and boozy, difficult, passionate journalists who occupy the …"
2630,"Hidden Away review - makes a rich, heavy meal of a biopic of feral Italian painter",Film,"Giorgio Diritti has directed a lovely-looking and fervent film about the life of the 20th-century naive artist Antonio Ligabue, who suffered poverty a …"
2631,'It's a cycle': the disproportionate toll of homelessness on San Francisco's African Americans,US-News,"When Tracey Mixon walks out her door in San Francisco’s Tenderloin neighborhood, she is more likely to meet another black person than in most places i …"
2632,Flight Lines: the heroic story of two migratory shorebirds – and the man who followed them,Books,"Nearly 20 years ago, in pursuit of a different sort of life, I spent six months commuting between Brisbane and Robbins Island, a remote chunk of priva …"
2633,Improved accuracy sends Bryson DeChambeau to the top,Sport,"A Bryson DeChambeau masterclass was followed by another trace of his extrovert nature. Quite naturally after DeChambeau had delivered a 63, including …"
2634,Fury v Wilder II: Fighters unveil bulked-up physiques on eve of rematch,Sport,"There was a time when Deontay Wilder would have been one of his country’s most famous sportsmen, which makes the 34-year-old among the biggest casualt …"
2635,California grad students risk losing their jobs amid months-long strike,US-News,"Across university campuses in California on Friday, students and faculty members marched, chanted and waved signs in support of the graduate students …"
2636,Tim Dowling: The kids have made risotto. Should I admit it’s delicious?,Life-and-Style,"My wife and I did not spend Valentine’s Day together – we were both busy, and anyway, my wife has decided she doesn’t recognise the occasion. But when …"
2637,Blind date: ‘Did we kiss? Enthusiastically’,Life-and-Style,Summary: Henry on Chloe What were you hoping for? Exhilarating beauty and memorable energy. First impressions? Bingo. What did you talk about? Beloved news out …
2638,Fit in my 40s: want to dance like Billie Eilish? There’s an online dance tutorial for that,Life-and-Style,"I thought parenting would be all on my terms. I’d curate everything beautiful I’ve read or seen and they’d listen, rapt, while I rolled them all out. …"
2639,The budget: what it might mean to you,UK-News,"Summary: Pensions Current rules Tax relief has long been a core incentive to encourage saving for retirement. If you earn £30,000 a year and save £2,000 into a …"
2640,Suffrage review: epic retelling of US women's long battle for the vote,Books,It was a decidedly anticlimactic end to a life-changing campaign. The document was sent by train to Washington in the middle of the night. A governmen …
2641,Mike Bloomberg under fire for 'not very ambitious' climate plan,US-News,"Mike Bloomberg has donated hundreds of millions of dollars to environmental advocacy causes, but his campaign is coming under fire for a climate plan …"
2642,Barack Obama isn't running in 2020 – so why is he in all the campaign ads?,US-News,"As Democrats vote in Nevada’s caucuses on Saturday, they do so having been inundated with an ad from Senator Elizabeth Warren’s campaign featuring Bar …"
2643,Streaming: where to find Joan Didion gems,Film,Summary: There are certain novels that get widely branded by critics as “unfilmable” – usually only after someone has gone to the trouble of trying to film the …
2644,Unfree Speech by Joshua Wong review – a young life of protest in Hong Kong,Books,"Since June 2019 Hong Kong has been – first figuratively, then literally – on fire. What began as a “summer of discontent” has become a running street …"
2645,Tom Daley: ‘I'm only recognised when strangers think of me in my pants',Sport,"* * * Tom Daley has the large lumberjack hands and size 11 feet of a very tall man. There must be height lurking somewhere in the diver’s genes, becau …"
2646,Nixon in China review –  a gripping human drama,Music,"Ask a Chinese person, or one trusted to speak to tourists, about the current status of Mao Zedong – founder of the People’s Republic of China, propone …"
2647,"Rod Blagojevich's 'political prisoner' claim is 'bullshit', says Anderson Cooper",US-News,"Rod Blagojevich’s claim to have been a political prisoner persecuted by “uncontrolled prosecutors” is “just bullshit”, the CNN host Anderson Cooper sa …"
2648,Wilder-Fury I: the seven moments that defined their gripping first fight,Sport,Deontay Wilder and Tyson Fury will climb through the ropes at the MGM Grand Garden Arena on Saturday night in a rematch of their epic split draw 15 mo …
2649,One to watch: Kamaiyah,Music,"Back in 2016, the California rapper Kamaiyah released one of the most exciting debut mixtapes of the year. A Good Night in the Ghetto put the then sec …"
2650,The Murder Capital review – people really need this band,Music,"Something is happening to boys in bands up and down the country and across the Irish Sea. They are singing about things that matter, such as mental he …"
2651,‘It changed my life’: Edmund de Waal on writing The Hare With Amber Eyes,Books,It was difficult. I was making the most complex work of my life: an installation of 450 porcelain vessels for a red aluminium shelf 50m above the entr …
